Date,Close,EMA9,EMA21,RSI,RSI_MA
,,,,,
2015-09-01,294.8592834472656,294.8592834472656,294.8592834472656,,
2015-09-02,293.0238342285156,294.4921936035156,294.69242442737925,,
2015-09-03,296.01171875,294.7960986328125,294.81236027489024,,
2015-09-04,298.7861328125,295.59410546875006,295.17361232376385,,
2015-09-07,296.3104553222656,295.7373754394532,295.27696168726396,,
2015-09-08,296.8653869628906,295.96297774414074,295.4213639850482,,
2015-09-09,302.627685546875,297.29591930468763,296.0764841270324,,
2015-09-10,299.1703186035156,297.67079916445323,296.3577418067127,,
2015-09-11,297.6763610839844,297.6719115483595,296.47761628646464,,
2015-09-14,302.3289489746094,298.6033190336095,297.0095556217505,,
2015-09-15,299.6398010253906,298.81061543196574,297.24866884026324,,
2015-09-16,306.89605712890625,300.4277037713539,298.1257041392308,,
2015-09-18,304.6764831542969,301.2774596479425,298.72122950423676,62.86336023646606,
2015-09-21,300.7496032714844,301.1718883726509,298.9056271194411,56.99788555915213,
2015-09-22,293.4933166503906,299.63617402819887,298.41359889498193,48.615837344188925,
2015-09-23,288.4566650390625,297.4002722303716,297.5084230898983,45.65395040769353,
2015-09-24,284.2309875488281,294.76641529406294,296.3013834952556,39.04764120457193,50.635734950414516
2015-09-28,279.663818359375,291.7458959071254,294.78887757381193,32.7957721420005,44.622217331521405
2015-09-29,275.4381408691406,288.4843448995284,293.0297196915691,31.794583498366705,39.581556919364324
2015-09-30,288.4140014648437,288.4702762125915,292.6101089436849,43.94125885998043,38.64664122252262
2015-10-01,289.7799072265625,288.7322024153857,292.352817878492,40.16987366883414,37.54982587475074
2015-10-05,295.5848388671875,290.10272970574607,292.64663796837334,47.35180078628451,39.210657791093254
2015-10-06,297.8044128417969,291.6430663329562,293.11552659323,50.09357474249105,42.67021831119136
2015-10-07,292.5116577148437,291.81678460933375,293.0606294224676,42.89244311289924,44.88979023409787
2015-10-08,291.5726013183594,291.7679479511389,292.925354140276,44.0076293655313,44.90306433520804
2015-10-09,296.7373352050781,292.7618254019268,293.2718978734398,42.21204565138762,45.31149873171874
2015-10-12,298.3592834472656,293.88131701099456,293.7343874710603,45.112274918892886,44.863593558240424
2015-10-13,294.90191650390625,294.0854369095769,293.84052647404627,45.4424325166434,43.933365113070884
2015-10-14,295.62750244140625,294.3938500159428,294.00297883471535,51.85185577487824,45.725247645466695
2015-10-15,299.8532409667969,295.48572820611366,294.5348208467227,60.03008140780988,48.92973805392241
2015-10-16,298.4873046875,296.08604350239096,294.89413755952063,63.21197891065537,53.129724705775956
2015-10-19,310.48150634765625,298.965136071444,296.31117108571476,75.10431188956662,59.1281320999107
2015-10-20,308.9021911621094,300.9525470895771,297.4558092744779,78.4883298000582,65.73731155659365
2015-10-21,317.1401062011719,304.1900589118961,299.2452908132682,76.6007255948233,70.68708552058267
2015-10-23,306.5545959472656,304.66296631897,299.909773098177,63.2680558941593,71.33468041785257
2015-10-26,300.6642761230469,303.8632282797854,299.97836428225605,54.01219643305678,69.49472392233284
2015-10-27,301.04840087890625,303.3002627996096,300.075640336497,52.63891157651501,65.00164385972252
2015-10-28,305.8716125488281,303.8145327494533,300.6025469012543,60.951686685682574,61.494315236847385
2015-10-29,303.3959655761719,303.73081931479703,300.8564940535195,59.453918285396924,58.06495377496211
2015-10-30,297.9751892089844,302.5796932936345,300.5945572494708,50.98574722565694,55.60849204126164
2015-11-02,298.9141845703125,301.8465915489701,300.44179609682004,50.44674687783317,54.89540213021693
2015-11-03,296.780029296875,300.8332790985511,300.1089082059159,51.54497245047663,54.67661430500925
2015-11-04,295.712890625,299.8092014038409,299.7092702440144,50.069849486588794,52.50024686519049
2015-11-05,287.30419921875,297.30820096682277,298.58153651444496,40.39211288140582,48.687885784392265
2015-11-06,289.5664367675781,295.75984812697385,297.7619819920025,43.26241232831562,47.143218804924004
2015-11-09,286.19439697265625,293.8467578961103,296.71038335388016,28.910145517451923,42.835898532847764
2015-11-10,283.1212463378906,291.7016555844664,295.4750072615175,28.179078323777958,38.16271970750803
2015-11-13,285.0419616699219,290.3697168015575,294.5265485713724,19.57909033904619,32.0645678779995
2015-11-16,286.62127685546875,289.6200288123398,293.80788750629023,27.21933403412487,29.430012108543316
2015-11-17,285.5541381835937,288.80685068659056,293.05754665877237,30.59186826919077,26.89590329671834
2015-11-18,285.0846252441406,288.0624055981006,292.33273562107854,29.540297050382165,27.021933603304387
2015-11-19,289.8652648925781,288.42297745699614,292.1084201003058,29.463325016797526,27.278782941908304
2015-11-20,291.40185546875,289.0187530593469,292.04418695198257,34.23118063429473,30.20920100095801
2015-11-23,289.39569091796875,289.0941406310713,291.803414585254,37.60778550541165,32.28689129521537
2015-11-24,291.5726013183594,289.58983276852894,291.78243156099086,39.76194954876127,34.12090755112947
2015-11-26,292.0848083496094,290.088827884745,291.8099203599562,43.14214930700731,36.8412780024545
2015-11-27,292.12744140625,290.496550589046,291.8387859096193,44.60151926466561,39.868916852028114
2015-11-30,285.4261169433594,289.4824638599087,291.25581600359567,47.0189718962499,42.42647510441915
2015-12-01,275.5235595703125,286.69068300198944,289.8256108732972,32.061121078086245,41.31714221895407
2015-12-02,275.6515197753906,284.4828503566697,288.53705713712384,35.31502626529522,40.42775756226085
2015-12-03,272.7917785644531,282.14463599822636,287.1056681759719,35.52623251692931,38.904574204245264
2015-12-04,274.2856750488281,280.5728438083467,285.9402142553225,34.74570842941327,36.933412037194785
2015-12-07,273.26129150390625,279.1105333474586,284.7875849142846,30.750221615612986,33.67966198106741
2015-12-08,271.3404846191406,277.556523601795,283.5651212510897,30.011921958806198,33.2698221572114
2015-12-09,265.36474609375,275.118168100186,281.91054169133156,25.98741736374076,31.404300376900505
2015-12-10,266.9013671875,273.47480791764883,280.5460712818923,19.63855859200052,28.22676559191475
2015-12-11,264.2550048828125,271.6308473106816,279.0650652456123,15.13135304216938,24.30389451446597
2015-12-14,261.3525085449219,269.5751795575297,277.45483281827677,14.79078364462454,21.11200692026828
2015-12-15,263.9561462402344,268.45137289407063,276.2276794930002,15.694156752019069,18.248453878910855
2015-12-16,273.47467041015625,269.45603239728774,275.9774059400144,31.10902249816145,19.272774905794993
2015-12-17,275.2247009277344,270.60976610337707,275.9089782116253,33.41700643895686,22.02846447518626
2015-12-18,272.36492919921875,270.9607987225454,275.58679193777016,36.14124891280485,26.230443649313354
2015-12-21,273.9442138671875,271.55748175147386,275.43746665862625,47.964721631872294,32.8652312467629
2015-12-22,275.9076843261719,272.42752226641346,275.4802137193122,50.31520367700073,39.789440631759234
2015-12-23,283.7187805175781,274.6857739166464,276.22917433733636,61.98500970031451,45.96463807218985
2015-12-24,288.9262084960937,277.5338608325359,277.38345016995066,64.8485159871763,52.25093998183373
2015-12-28,283.20654296875,278.6683972597787,277.9128222425688,59.209430138144576,56.86457622690168
2015-12-29,286.19439697265625,280.17359720235424,278.6656926725767,63.48835623916809,59.96930314836084
2015-12-30,284.3590393066406,281.01068562321154,279.1832696393098,68.65052657948378,63.63636772885745
