Date,Close
,BHARTIARTL.NS
2015-09-01,294.8592834472656
2015-09-02,293.0238342285156
2015-09-03,296.01171875
2015-09-04,298.7861328125
2015-09-07,296.3104553222656
2015-09-08,296.8653869628906
2015-09-09,302.627685546875
2015-09-10,299.1703186035156
2015-09-11,297.6763610839844
2015-09-14,302.3289489746094
2015-09-15,299.6398010253906
2015-09-16,306.89605712890625
2015-09-18,304.6764831542969
2015-09-21,300.7496032714844
2015-09-22,293.4933166503906
2015-09-23,288.4566650390625
2015-09-24,284.2309875488281
2015-09-28,279.663818359375
2015-09-29,275.4381408691406
2015-09-30,288.41400146484375
2015-10-01,289.7799072265625
2015-10-05,295.5848388671875
2015-10-06,297.8044128417969
2015-10-07,292.51165771484375
2015-10-08,291.5726013183594
2015-10-09,296.7373352050781
2015-10-12,298.3592834472656
2015-10-13,294.90191650390625
2015-10-14,295.62750244140625
2015-10-15,299.8532409667969
2015-10-16,298.4873046875
2015-10-19,310.48150634765625
2015-10-20,308.9021911621094
2015-10-21,317.1401062011719
2015-10-23,306.5545959472656
2015-10-26,300.6642761230469
2015-10-27,301.04840087890625
2015-10-28,305.8716125488281
2015-10-29,303.3959655761719
2015-10-30,297.9751892089844
2015-11-02,298.9141845703125
2015-11-03,296.780029296875
2015-11-04,295.712890625
2015-11-05,287.30419921875
2015-11-06,289.5664367675781
2015-11-09,286.19439697265625
2015-11-10,283.1212463378906
2015-11-13,285.0419616699219
2015-11-16,286.62127685546875
2015-11-17,285.55413818359375
2015-11-18,285.0846252441406
2015-11-19,289.8652648925781
2015-11-20,291.40185546875
2015-11-23,289.39569091796875
2015-11-24,291.5726013183594
2015-11-26,292.0848083496094
2015-11-27,292.12744140625
2015-11-30,285.4261169433594
2015-12-01,275.5235595703125
2015-12-02,275.6515197753906
2015-12-03,272.7917785644531
2015-12-04,274.2856750488281
2015-12-07,273.26129150390625
2015-12-08,271.3404846191406
2015-12-09,265.36474609375
2015-12-10,266.9013671875
2015-12-11,264.2550048828125
2015-12-14,261.3525085449219
2015-12-15,263.9561462402344
2015-12-16,273.47467041015625
2015-12-17,275.2247009277344
2015-12-18,272.36492919921875
2015-12-21,273.9442138671875
2015-12-22,275.9076843261719
2015-12-23,283.7187805175781
2015-12-24,288.92620849609375
2015-12-28,283.20654296875
2015-12-29,286.19439697265625
2015-12-30,284.3590393066406
2015-12-31,290.5908508300781
2016-01-01,290.6762390136719
2016-01-04,278.9808654785156
2016-01-05,276.1211242675781
2016-01-06,275.0539855957031
2016-01-07,275.1820373535156
2016-01-08,276.4625244140625
2016-01-11,274.1576232910156
2016-01-12,269.24896240234375
2016-01-13,263.44403076171875
2016-01-14,263.5720520019531
2016-01-15,261.3097839355469
2016-01-18,256.3157958984375
2016-01-19,264.8952331542969
2016-01-20,264.2976989746094
2016-01-21,264.0415954589844
2016-01-22,254.99261474609375
2016-01-25,253.9682159423828
2016-01-27,254.2243194580078
2016-01-28,248.76080322265625
2016-01-29,247.48028564453125
2016-02-01,253.1999053955078
2016-02-02,257.9804992675781
2016-02-03,255.93167114257812
2016-02-04,259.73046875
2016-02-05,262.2488098144531
2016-02-08,265.49285888671875
2016-02-09,266.5599670410156
2016-02-10,265.7489013671875
2016-02-11,263.5293884277344
2016-02-12,277.0601501464844
2016-02-15,272.23681640625
2016-02-16,269.1636047363281
2016-02-17,272.7917785644531
2016-02-18,274.2003479003906
2016-02-19,278.3406066894531
2016-02-22,280.9443359375
2016-02-23,274.2856750488281
2016-02-24,276.5478820800781
2016-02-25,275.352783203125
2016-02-26,271.4258728027344
2016-02-29,269.3343505859375
2016-03-01,273.77349853515625
2016-03-02,278.5967102050781
2016-03-03,284.6151123046875
2016-03-04,281.0723876953125
2016-03-08,282.9931945800781
2016-03-09,285.63958740234375
2016-03-10,287.0907897949219
